pair_id,job_title,original_bullet,jd_keywords,rewritten_bullet
0_0,Software Engineer,Worked on backend systems,"Python, Django, RestAPI, PostgreSQL, Docker, Kubernetes","Built 3 scalable Django REST APIs handling 10M+ requests/month, reducing response latency by 40% via PostgreSQL query optimization; containerized with Docker and deployed via Kubernetes for 99.9% uptime"
0_0,Data Scientist,Analyzed customer data,"Python, SQL, Machine Learning, TensorFlow, BigQuery, Tableau","Engineered ML pipeline processing 500M+ customer records via BigQuery/TensorFlow; built 12 predictive models with 92% accuracy, deployed to production serving 500K daily predictions; visualized insights via Tableau for C-suite"
0_0,Product Manager,Led product launches,"Agile, Roadmap, Stakeholder Management, Analytics, A/B Testing",Directed 5 product launches reaching $2M ARR; managed cross-functional teams of 15+; defined roadmap via OKRs; drove 40% revenue growth through data-driven A/B testing and stakeholder alignment
0_0,DevOps Engineer,Managed infrastructure,"AWS, Terraform, CI/CD, Jenkins, Kubernetes, Monitoring",Architected AWS multi-region infrastructure via Terraform; automated CI/CD pipelines reducing deployment time 80% via Jenkins/GitHub Actions; managed 100-node Kubernetes cluster with 99.95% uptime SLA
0_0,Frontend Engineer,Built UI components,"React, TypeScript, Redux, CSS-in-JS, Performance, Accessibility",Engineered 50+ React components in TypeScript reducing bundle size 35% via code-splitting; optimized performance (Core Web Vitals: 95/100); implemented WCAG 2.1 AA accessibility standards
0_0,Finance Analyst,Created reports,"Excel, SQL, Financial Modeling, FP&A, Forecasting",Built 20+ financial models in Excel/SQL forecasting quarterly revenue with 98% accuracy; automated monthly reporting reducing analyst time 60%; identified $5M+ cost optimization opportunities
0_0,Marketing Manager,Ran campaigns,"Campaign Management, Email, SEO, Analytics, Growth",Executed 50+ integrated marketing campaigns generating $10M revenue; grew email list 5M subscribers with 35% open rate; drove organic traffic 200% via SEO optimization (5 keywords ranking #1)
0_0,Sales Engineer,Managed accounts,"B2B Sales, Technical Demos, Sales Engineering, CRM",Closed $8M in enterprise deals (avg $500K ARR) via technical demos and architecture consulting; maintained 95% customer renewal rate; trained 10-person sales team on technical value props
0_0,UX Designer,Designed interfaces,"Figma, User Research, Prototyping, Usability Testing, Design Systems",Designed complete design system in Figma serving 50+ product teams; conducted 200+ user research sessions reducing churn 25%; prototyped 15 features achieving 90% task completion in usability tests
0_0,QA Engineer,Tested software,"Automation, Selenium, QA, Bug Tracking, Performance Testing",Automated 80% of test suite via Selenium/Python reducing QA time 70%; executed performance testing identifying bottlenecks reducing response time 50%; maintained 0.2% production defect rate
1_1,Software Engineer,Worked on backend systems,"Python, Django, RestAPI, PostgreSQL, Docker, Kubernetes","Built 3 scalable Django REST APIs handling 10M+ requests/month, reducing response latency by 40% via PostgreSQL query optimization; containerized with Docker and deployed via Kubernetes for 99.9% uptime"
1_1,Data Scientist,Analyzed customer data,"Python, SQL, Machine Learning, TensorFlow, BigQuery, Tableau","Engineered ML pipeline processing 500M+ customer records via BigQuery/TensorFlow; built 12 predictive models with 92% accuracy, deployed to production serving 500K daily predictions; visualized insights via Tableau for C-suite"
1_1,Product Manager,Led product launches,"Agile, Roadmap, Stakeholder Management, Analytics, A/B Testing",Directed 5 product launches reaching $2M ARR; managed cross-functional teams of 15+; defined roadmap via OKRs; drove 40% revenue growth through data-driven A/B testing and stakeholder alignment
1_1,DevOps Engineer,Managed infrastructure,"AWS, Terraform, CI/CD, Jenkins, Kubernetes, Monitoring",Architected AWS multi-region infrastructure via Terraform; automated CI/CD pipelines reducing deployment time 80% via Jenkins/GitHub Actions; managed 100-node Kubernetes cluster with 99.95% uptime SLA
1_1,Frontend Engineer,Built UI components,"React, TypeScript, Redux, CSS-in-JS, Performance, Accessibility",Engineered 50+ React components in TypeScript reducing bundle size 35% via code-splitting; optimized performance (Core Web Vitals: 95/100); implemented WCAG 2.1 AA accessibility standards
1_1,Finance Analyst,Created reports,"Excel, SQL, Financial Modeling, FP&A, Forecasting",Built 20+ financial models in Excel/SQL forecasting quarterly revenue with 98% accuracy; automated monthly reporting reducing analyst time 60%; identified $5M+ cost optimization opportunities
